File: hair_messed.json, Path: sheet_definitions\hair_messed.json, Key: child, Value: hair/messy/child/
File: heads_boarman_child.json, Path: sheet_definitions\heads_boarman_child.json, Key: child, Value: head/heads/boarman/child/
File: heads_goblin_child.json, Path: sheet_definitions\heads_goblin_child.json, Key: child, Value: head/heads/goblin/child/
File: heads_human_child.json, Path: sheet_definitions\heads_human_child.json, Key: child, Value: head/heads/human/child/
File: heads_lizard_child.json, Path: sheet_definitions\heads_lizard_child.json, Key: child, Value: head/heads/lizard/child/
File: heads_minotaur_child.json, Path: sheet_definitions\heads_minotaur_child.json, Key: child, Value: head/heads/minotaur/child/
File: heads_mouse_child.json, Path: sheet_definitions\heads_mouse_child.json, Key: child, Value: head/heads/mouse/child/
File: heads_orc_child.json, Path: sheet_definitions\heads_orc_child.json, Key: child, Value: head/heads/orc/child/
File: heads_pig_child.json, Path: sheet_definitions\heads_pig_child.json, Key: child, Value: head/heads/pig/child/
File: heads_rabbit_child.json, Path: sheet_definitions\heads_rabbit_child.json, Key: child, Value: head/heads/rabbit/child/
File: heads_rat_child.json, Path: sheet_definitions\heads_rat_child.json, Key: child, Value: head/heads/rat/child/
File: heads_sheep_child.json, Path: sheet_definitions\heads_sheep_child.json, Key: child, Value: head/heads/sheep/child/
File: heads_troll_child.json, Path: sheet_definitions\heads_troll_child.json, Key: child, Value: head/heads/troll/child/
File: heads_wolf_child.json, Path: sheet_definitions\heads_wolf_child.json, Key: child, Value: head/heads/wolf/child/
File: legs_childpants.json, Path: sheet_definitions\legs_childpants.json, Key: child, Value: legs/pants/child/
File: legs_childskirts.json, Path: sheet_definitions\legs_childskirts.json, Key: child, Value: legs/skirts/child/
File: legs_pregnantpants.json, Path: sheet_definitions\legs_pregnantpants.json, Key: pregnant, Value: legs/pants/pregnant/
File: legs_widepants.json, Path: sheet_definitions\legs_widepants.json, Key: muscular, Value: legs/pants/muscular/
File: torso_clothes_child_shirt.json, Path: sheet_definitions\torso_clothes_child_shirt.json, Key: child, Value: torso/clothes/shirt/child/
